Employee #,Last Name,First Name,Birthday,SSS #,Philhealth #,TIN #,Pag-ibig #,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Garcia,Manuel III,10/11/1983,44-4506057-3,8.20127E+11,442-605-657-000,6.91295E+11,"90,000","1,500","2,000","1,000","45,000",535.71
10002,Lim,Antonio,6/19/1988,52-2061274-9,3.31736E+11,683-102-776-000,6.63905E+11,"60,000","1,500","2,000","1,000","30,000",357.14
10003,Aquino,Bianca Sofia,8/4/1989,30-8870406-2,1.77451E+11,971-711-280-000,1.7152E+11,"60,000","1,500","2,000","1,000","30,000",357.14
10004,Reyes,Isabella,6/16/1994,40-2511815-0,3.41911E+11,876-809-437-000,4.16947E+11,"60,000","1,500","2,000","1,000","30,000",357.14
10005,Hernandez,Eduard,9/23/1989,50-5577638-1,9.57436E+11,031-702-374-000,9.52347E+11,"52,670","1,500","1,000","1,000","26,335",313.51
10006,Villanueva,Andrea Mae,2/14/1988,49-1632020-8,3.82189E+11,317-674-022-000,4.41093E+11,"52,670","1,500","1,000","1,000","26,335",313.51
10007,San Jose,Brad ,3/15/1996,40-2400714-1,2.39193E+11,672-474-690-000,2.1085E+11,"42,975","1,500",800,800,"21,488",255.8
10008,Romualdez,Alice,5/14/1992,55-4476527-2,5.45653E+11,888-572-294-000,2.11386E+11,"22,500","1,500",500,500,"11,250",133.93
10009,Atienza,Rosie ,9/24/1948,41-0644692-3,7.08988E+11,604-997-793-000,2.60108E+11,"22,500","1,500",500,500,"11,250",133.93
10010,Alvaro,Roderick,3/30/1988,64-7605054-4,5.78115E+11,525-420-419-000,7.99254E+11,"52,670","1,500","1,000","1,000","26,335",313.51
10011,Salcedo,Anthony,9/14/1993,26-9647608-3,1.26445E+11,210-805-911-000,2.18002E+11,"50,825","1,500","1,000","1,000","25,413",302.53
10012,Lopez,Josie ,1/14/1987,44-8563448-3,4.31709E+11,218-489-737-000,1.13071E+11,"38,475","1,500",800,800,"19,238",229.02
10013,Farala,Martha,1/11/1942,45-5656375-0,2.33694E+11,210-835-851-000,6.3113E+11,"24,000","1,500",500,500,"12,000",142.86
10014,Martinez,Leila,7/11/1970,27-2090996-4,5.15741E+11,275-792-513-000,1.01205E+11,"24,000","1,500",500,500,"12,000",142.86
10015,Romualdez,Fredrick ,3/10/1985,26-8768374-1,3.08367E+11,598-065-761-000,2.23058E+11,"53,500","1,500","1,000","1,000","26,750",318.45
10016,Mata,Christian,10/21/1987,49-2959312-6,8.24188E+11,103-100-522-000,6.31053E+11,"42,975","1,500",800,800,"21,488",255.8
10017,De Leon,Selena ,2/20/1975,27-2090208-8,5.87272E+11,482-259-498-000,7.19008E+11,"41,850","1,500",800,800,"20,925",249.11
10018,San Jose,Allison ,6/24/1986,45-3251383-0,7.45148E+11,121-203-336-000,1.14902E+11,"22,500","1,500",500,500,"11,250",133.93
10019,Rosario,Cydney ,10/6/1996,49-1629900-2,5.79253E+11,122-244-511-000,2.65104E+11,"22,500","1,500",500,500,"11,250",133.93
10020,Bautista,Mark ,2/12/1991,49-1647342-5,3.99665E+11,273-970-941-000,2.60055E+11,"23,250","1,500",500,500,"11,625",138.39
10021,Lazaro,Darlene ,11/25/1985,45-5617168-2,6.06387E+11,354-650-951-000,1.04908E+11,"23,250","1,500",500,500,"11,625",138.39
10022,Delos Santos,Kolby ,2/26/1980,52-0109570-6,3.57451E+11,187-500-345-000,1.13018E+11,"24,000","1,500",500,500,"12,000",142.86
10023,Santos,Vella ,12/31/1983,52-9883524-3,5.4867E+11,101-558-994-000,3.60028E+11,"22,500","1,500",500,500,"11,250",133.93
10024,Del Rosario,Tomas,12/18/1978,45-5866331-6,9.53902E+11,560-735-732-000,9.13109E+11,"22,500","1,500",500,500,"11,250",133.93
10025,Tolentino,Jacklyn ,5/19/1984,47-1692793-0,7.53801E+11,841-177-857-000,2.10547E+11,"24,000","1,500",500,500,"12,000",142.86
10026,Gutierrez,Percival ,12/18/1970,40-9504657-8,7.97639E+11,502-995-671-000,2.10897E+11,"24,750","1,500",500,500,"12,375",147.32
10027,Manalaysay,Garfield ,8/28/1986,45-3298166-4,8.10909E+11,336-676-445-000,2.11274E+11,"24,750","1,500",500,500,"12,375",147.32
10028,Villegas,Lizeth ,12/12/1981,40-2400719-4,9.3439E+11,210-395-397-000,1.22238E+11,"24,000","1,500",500,500,"12,000",142.86
10029,Ramos,Carol ,8/20/1978,60-1152206-4,3.5183E+11,395-032-717-000,2.12142E+11,"22,500","1,500",500,500,"11,250",133.93
10030,Maceda,Emelia ,4/14/1973,54-1331005-0,4.65088E+11,215-973-013-000,5.15013E+11,"22,500","1,500",500,500,"11,250",133.93
10031,Aguilar,Delia ,1/27/1989,52-1859253-1,1.36451E+11,599-312-588-000,1.10019E+11,"22,500","1,500",500,500,"11,250",133.93
10032,Castro,John Rafael,2/9/1992,26-7145133-4,6.01645E+11,404-768-309-000,6.97764E+11,"52,670","1,500","1,000","1,000","26,335",313.51
10033,Martinez,Carlos Ian,11/16/1990,11-5062972-7,3.80685E+11,256-436-296-000,9.93373E+11,"52,670","1,500","1,000","1,000","26,335",313.51
10034,Santos,Beatriz,8/7/1990,20-2987501-5,9.1846E+11,911-529-713-000,8.74042E+11,"52,670","1,500","1,000","1,000","26,335",313.51
